Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Juventus,38,87,26,9,3,72,24
2,Roma,38,70,19,13,6,54,31
3,Lazio,38,69,21,6,11,71,38
4,Fiorentina,38,64,18,10,10,61,46
5,SSC Napoli,38,63,18,9,11,70,54
6,Genoa,38,59,16,11,11,62,47
7,Sampdoria,38,56,13,17,8,48,42
8,Inter,38,55,14,13,11,59,48
9,Torino,38,54,14,12,12,48,45
10,AC Milan,38,52,13,13,12,56,50
11,Palermo,38,49,12,13,13,53,55
12,Sassuolo,38,49,12,13,13,49,57
13,Verona,38,46,11,13,14,49,65
14,Chievo,38,43,10,13,15,28,41
15,Empoli,38,42,8,18,12,46,52
16,Udinese,38,41,10,11,17,43,56
17,Atalanta,38,37,7,16,15,38,57
18,Cagliari,38,34,8,10,20,48,68
19,Parma,38,26,6,8,24,33,75
20,Cesena,38,24,4,12,22,36,73
