Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Juventus,38,91,29,4,5,75,20
2,SSC Napoli,38,82,25,7,6,80,32
3,Roma,38,80,23,11,4,83,41
4,Inter,38,67,20,7,11,50,38
5,Fiorentina,38,64,18,10,10,60,42
6,Sassuolo,38,61,16,13,9,49,40
7,AC Milan,38,57,15,12,11,49,43
8,Lazio,38,54,15,9,14,52,52
9,Chievo,38,50,13,11,14,43,45
10,Empoli,38,46,12,10,16,40,49
11,Genoa,38,46,13,7,18,45,48
12,Torino,38,45,12,9,17,52,55
13,Atalanta,38,45,11,12,15,41,47
14,Bologna,38,42,11,9,18,33,45
15,Sampdoria,38,40,10,10,18,48,61
16,Palermo,38,39,10,9,19,38,65
17,Udinese,38,39,10,9,19,35,60
18,Carpi,38,38,9,11,18,37,57
19,Frosinone,38,31,8,7,23,35,76
20,Verona,38,28,5,13,20,34,63
