Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,PSG,38,89,27,8,3,84,23
2,Monaco,38,80,23,11,4,63,31
3,Lille,38,71,20,11,7,46,26
4,Saint-Etienne,38,69,20,9,9,56,34
5,Lyon,38,61,17,10,11,56,44
6,Marseille,38,60,16,12,10,53,40
7,Bordeaux,38,53,13,14,11,49,43
8,Nantes,38,49,13,10,15,40,43
9,Lorient,38,49,13,10,15,48,53
10,Toulouse,38,49,12,13,13,46,53
11,Reims,38,48,12,12,14,44,52
12,Rennes,38,46,11,13,14,47,45
13,SC Bastia,38,46,12,10,16,42,58
14,Evian Thonon Gaillard,38,44,11,11,16,39,51
15,Montpellier,38,42,8,18,12,45,53
16,Guingamp,38,42,11,9,18,34,42
17,Nice,38,42,12,6,20,30,44
18,Sochaux,38,40,10,10,18,37,61
19,Valenciennes,38,29,7,8,23,37,65
20,AC Ajaccio,38,23,4,11,23,37,72
